,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,color
0,0.22950885093374565,2.1357671207933953,-2.4613037193847442,-0.8151729192075757,0.6245539640515425,-1.193601317459239,-1.4633484865965045,1.0353217749152774,1.7817415316877687,0.2503549088940108,-0.9298922994027592,5,red
1,0.5502613423070258,3.012817308478499,-2.4613037193847442,-0.49817545876745634,1.281999136297566,-0.013943521571782533,-0.5132598941775605,0.7021270222382185,-0.09693674989352408,1.0592133217759478,-0.5588697963319231,5,red
2,0.5502613423070258,2.4380317215967713,-2.104518458138761,-0.6257399255366679,1.1040115161358697,-0.7546840415489724,-0.8167781716227772,0.7687793199172797,0.2772716785224398,0.862548653457009,-0.5588697963319231,5,red
3,2.8027279272080445,-0.3371085815950147,1.583940085619245,-0.8151729192075757,0.5943515821392761,-0.574982161907492,-0.668661948590999,1.1019407114161588,-0.349390847414398,0.38939620057340224,-0.5588697963319231,6,red
4,0.22950885093374565,2.1357671207933953,-2.4613037193847442,-0.8151729192075757,0.6245539640515425,-1.193601317459239,-1.4633484865965045,1.0353217749152774,1.7817415316877687,0.2503549088940108,-0.9298922994027592,5,red
5,0.22950885093374565,1.9282710722999843,-2.4613037193847442,-0.866619128368086,0.5943515821392761,-0.9584132298148949,-1.237007088364213,1.0353217749152774,1.7817415316877687,0.2503549088940108,-0.9298922994027592,5,red
6,0.6281710431023672,1.6074585631338043,-1.9312397318615695,-0.9752663452977042,0.4125451780101651,-0.7546840415489724,-0.6923073196607021,0.5688023968058046,0.5238272289263622,-0.47273022332503145,-0.9298922994027592,5,red
7,0.1469337902212749,1.8756157923244494,-2.4613037193847442,-1.2201787460543925,0.29077311634801756,-0.7546840415489724,-2.1275434070117427,-0.03148917890865411,1.0702938721746866,-0.39822758733630914,-0.3784807080080908,7,red
8,0.5502613423070258,1.4978417426785402,-2.281162029313685,-0.7654709892786589,0.5338624409970849,-1.4717697843564401,-2.3372614917564283,0.7021270222382185,0.8893931505097038,0.32009695956147477,-0.8358157012703942,7,red
9,0.3111066690454089,1.0450426338614822,0.3358409551643636,0.49751965580847274,0.47326044691422126,-0.574982161907492,0.08071929156292812,1.0353217749152774,0.8288161965209465,1.8122424886697055,0.058521435228107065,5,red
